Date,Open,High,Low,Close,Volume
01/02/2024,160.9966749848298,163.92925564889285,160.82529747610658,163.84356689453125,9977400
01/03/2024,163.63410176829163,163.80547928325578,162.21541382672396,163.1294708251953,9852300
01/04/2024,163.47435122253862,166.0705572172805,163.3785446534517,164.21202087402344,11972500
01/05/2024,164.2694952494097,166.09929250412242,164.2694952494097,165.03590393066406,10066000
01/08/2024,164.79641723632812,165.12213620485633,162.37265997505037,164.79641723632812,11229900
01/09/2024,164.41317841142293,164.57603786880338,162.95701810377585,163.49349975585938,9923600
01/10/2024,162.8612227355773,163.89587225770805,161.85531225978102,163.83839416503906,9670200
01/11/2024,163.17735965053294,163.2060986955971,161.55832522778246,163.14862060546875,11919500
01/12/2024,166.50166046764423,168.9062533664625,161.80741624247742,161.9511260986328,19436500
01/16/2024,157.94666093131482,161.03144564695285,157.40060436457583,160.93565368652344,17206400
01/17/2024,160.31292710157683,161.97029014212657,159.49862972312755,160.07342529296875,11107500
01/18/2024,160.10219750765762,160.4949840634726,158.3011534740775,160.3896026611328,9382300
01/19/2024,160.51410852793856,163.4072943513664,160.06384397661594,163.158203125,13115700
01/22/2024,163.30193744419606,164.75809807454945,162.58343193991826,162.9666290283203,12837500
01/23/2024,162.5450994568688,162.62174179626794,161.36675455192406,161.89366149902344,8360800
01/24/2024,162.24809761236278,163.82880362211606,161.76909401934304,163.34022521972656,9967100
01/25/2024,165.0742460947376,165.72569870183003,163.73304163606534,165.67779541015625,8873500
01/26/2024,165.36164588217466,165.79274625724076,164.56649804379273,165.04550170898438,7443000
01/29/2024,165.0071788069499,165.5819744028677,164.10664962684461,165.47659301757812,6971200
01/30/2024,165.57240299685432,169.3373646597328,165.57240299685432,168.86795043945312,10822100
01/31/2024,168.80086140855477,170.81268232442451,167.01896747730794,167.0381317138672,11521800
02/01/2024,166.3483989340028,167.49800485295836,164.23119621701684,166.4346160888672,9354800
02/02/2024,166.02265010918322,168.43683233787874,165.98432163521917,167.39259338378906,8607600
02/05/2024,166.55913244619202,167.73747720963516,165.65860333893167,167.17225646972656,7820200
02/06/2024,167.2776719437051,168.48475599976504,166.4633598101674,167.74710083007812,6764800
02/07/2024,168.3123084218738,168.48474272285162,166.6549598510057,168.06321716308594,7225500
